Event_Msg_Type Action_Type Event_Msg_Type_Description Action_Type_Description
1 0 MadeShot NoShot
1 1 MadeShot JumpShot
1 3 MadeShot HookShot
1 4 MadeShot TipShot
1 5 MadeShot LayupShot
1 6 MadeShot DrivingLayupShot
1 7 MadeShot DunkShot
1 8 MadeShot SlamDunkShot
1 9 MadeShot DrivingDunkShot
1 40 MadeShot LayupShot
1 41 MadeShot RunningLayupShot
1 42 MadeShot DrivingLayupShot
1 44 MadeShot ReverseLayupShot
1 45 MadeShot JumpShot
1 47 MadeShot TurnaroundJumpShot
1 48 MadeShot DunkShot
1 49 MadeShot DrivingDunkShot
1 50 MadeShot RunningDunkShot
1 52 MadeShot AlleyOopDunkShot
1 54 MadeShot RunningTipShot
1 55 MadeShot HookShot
1 56 MadeShot RunningHookShot
1 57 MadeShot DrivingHookShot
1 58 MadeShot TurnaroundHookShot
1 59 MadeShot FingerRollShot
1 60 MadeShot RunningFingerRollShot
1 62 MadeShot TurnaroundFingerRollShot
1 63 MadeShot FadeawayJumpShot
1 64 MadeShot FollowUpDunkShot
1 65 MadeShot JumpHookShot
1 66 MadeShot JumpBankShot
1 67 MadeShot HookBankShot
2 0 MissedShot NoShot
2 2 MissedShot RunningJumpShot
2 4 MissedShot TipShot
2 5 MissedShot LayupShot
2 6 MissedShot DrivingLayupShot
2 7 MissedShot DunkShot
2 8 MissedShot SlamDunkShot
2 9 MissedShot DrivingDunkShot
2 40 MissedShot LayupShot
2 41 MissedShot RunningLayupShot
2 42 MissedShot DrivingLayupShot
2 43 MissedShot AlleyOopLayupshot
2 45 MissedShot JumpShot
2 47 MissedShot TurnaroundJumpShot
2 48 MissedShot DunkShot
2 49 MissedShot DrivingDunkShot
2 50 MissedShot RunningDunkShot
2 51 MissedShot ReverseDunkShot
2 52 MissedShot AlleyOopDunkShot
2 53 MissedShot TipShot
2 54 MissedShot RunningTipShot
2 55 MissedShot HookShot
2 56 MissedShot RunningHookShot
2 57 MissedShot DrivingHookShot
2 59 MissedShot FingerRollShot
2 60 MissedShot RunningFingerRollShot
2 61 MissedShot DrivingFingerRollShot
2 62 MissedShot TurnaroundFingerRollShot
2 63 MissedShot FadeawayJumpShot
2 64 MissedShot FollowUpDunkShot
2 65 MissedShot JumpHookShot
2 66 MissedShot JumpBankShot
